water_type,wavelength_nm,Kd_downwelling_per_m,transmittance_percent_per_m,status,note
1C,310,1.8326,16,ok,
1C,350,1.1394,32,ok,
1C,375,0.6162,54,ok,
1C,400,0.3711,69,ok,
1C,425,0.2357,79,ok,
1C,450,0.1744,84,ok,
1C,475,0.1335,87.5,ok,
1C,500,0.1188,88.8,ok,
1C,525,0.1222,88.5,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,550,0.1450,86.5,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,575,0.1924,82.5,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,600,0.2877,75,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,625,0.3857,68,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,650,0.4308,65,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,675,0.4943,61,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
1C,700,0.6162,54,ok,identical to oceanic III at this wavelength in the original table; see DATA.md section 5
3C,310,2.4079,9,ok,
3C,350,1.6607,19,ok,
3C,375,1.0788,34,ok,
3C,400,0.6349,53,ok,
3C,425,0.4155,66,ok,
3C,450,0.2877,75,ok,
3C,475,0.2231,80,ok,
3C,500,0.1985,82,ok,
3C,525,0.1985,82,ok,
3C,550,0.2107,81,ok,
3C,575,0.2485,78,ok,
3C,600,0.3425,71,ok,
3C,625,0.4308,65,ok,
3C,650,0.4780,62,ok,
3C,675,0.5621,57,ok,
3C,700,0.6733,51,ok,
5C,310,3.5066,3,ok,
5C,350,2.3026,10,ok,
5C,375,1.5606,21,ok,
5C,400,1.0217,36,ok,
5C,425,0.6931,50,ok,
5C,450,0.5108,60,ok,
5C,475,0.4005,67,ok,
5C,500,0.3425,71,ok,
5C,525,0.3147,73,ok,
5C,550,0.3285,72,ok,
5C,575,0.3567,70,ok,
5C,600,0.4005,67,ok,
5C,625,0.4780,62,ok,
5C,650,0.5447,58,ok,
5C,675,0.6539,52,ok,
5C,700,0.7985,45,ok,
7C,310,,,missing,blank in Table XX
7C,350,2.9957,5.0,ok,
7C,375,2.1203,12,ok,
7C,400,1.5141,22,ok,
7C,425,1.1394,32,ok,
7C,450,0.8675,42,ok,
7C,475,0.6931,50,ok,
7C,500,0.5798,56,ok,
7C,525,0.4943,61,ok,
7C,550,0.4620,63,ok,
7C,575,0.4620,63,ok,
7C,600,0.4780,62,ok,
7C,625,0.5447,58,ok,
7C,650,0.6349,53,ok,
7C,675,0.7765,46,ok,
7C,700,0.9163,40,ok,
9C,310,,,missing,blank in Table XX
9C,350,4.1997,1.5,ok,
9C,375,3.0576,4.7,ok,
9C,400,2.4079,9,ok,
9C,425,1.8971,15,ok,
9C,450,1.5606,21,ok,
9C,475,1.2379,29,ok,
9C,500,0.9943,37,ok,
9C,525,0.7765,46,ok,
9C,550,0.6349,53,ok,
9C,575,0.5798,56,ok,
9C,600,0.5978,55,ok,
9C,625,0.6539,52,ok,
9C,650,0.7550,47,ok,
9C,675,0.9163,40,ok,
9C,700,1.1087,33,ok,
