water_type,wavelength_nm,quantity,value_per_m,unit,std_dev_per_m,n_campaigns,status,note
IB,510,b,0.1266,1/m,0.0351849,6,included,
IB,532,b,0.086725,1/m,0.021925,2,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IB,555,b,0.119542,1/m,0.0390931,6,included,
IB,630,b,0.1113,1/m,0.0152,2,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IB,650,b,0.1183,1/m,0.0232885,4,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
IB,676,b,0.09855,1/m,0.0230835,4,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
II,412,a,0.0711873,1/m,0.0227606,32,included,
II,440,a,0.0657099,1/m,0.0182439,34,included,
II,488,a,0.0465781,1/m,0.0185193,37,included,
II,510,a,0.0612013,1/m,0.00913335,34,included,
II,532,a,0.0786066,1/m,0.012558,16,included,
II,555,a,0.0770291,1/m,0.00875123,34,included,
II,630,a,0.300799,1/m,0.00290101,20,included,
II,650,a,0.353451,1/m,0.0126726,32,included,
II,676,a,0.464576,1/m,0.00428393,31,included,
II,715,a,1.034,1/m,0.0212132,3,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
II,412,b,0.204843,1/m,0.0559738,34,included,
II,440,b,0.195129,1/m,0.0538761,36,included,
II,488,b,0.196966,1/m,0.051996,35,included,
II,510,b,0.187252,1/m,0.0536941,36,included,
II,532,b,0.199177,1/m,0.0567553,16,included,
II,555,b,0.183761,1/m,0.0529338,36,included,
II,630,b,0.16612,1/m,0.0566807,8,included,
II,650,b,0.163506,1/m,0.0499128,32,included,
II,676,b,0.144997,1/m,0.0541752,32,included,
II,715,b,0.136236,1/m,0.0383356,3,excluded_sparse,寄与した測定が5点未満のため論文の最終平均から除外された
III,412,a,0.127845,1/m,0.031278,77,included,
III,440,a,0.113855,1/m,0.0288123,79,included,
III,488,a,0.0818477,1/m,0.0229917,79,included,
III,510,a,0.085338,1/m,0.019656,79,included,
III,532,a,0.0914363,1/m,0.0123531,32,included,
III,555,a,0.0907481,1/m,0.0208018,79,included,
III,630,a,0.310588,1/m,0.0170606,44,included,
